,Case_No,Days_of_Mon,Time_occured(24hr),Areas,Zip_Codes,Crimes,Weapons
0,221008086,17,0700,West Valley,91335,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
1,221809363,18,0830,Southeast,90059,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
2,220407651,15,1700,Hollenbeck,90031,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
3,221809380,17,1900,Southeast,90002,BURGLARY,UNKNOWN WEAPON/OTHER WEAPON
4,221108036,18,0935,Northeast,90039,VEHICLE - STOLEN,
5,220508110,9,2000,Harbor,90731,BIKE - STOLEN,
6,220309229,18,0110,Southwest,90037,CRIMINAL THREATS - NO WEAPON DISPLAYED,OTHER CUTTING INSTRUMENT
7,220708116,18,0645,Wilshire,90019,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
8,220110578,6,1212,Central,90015,THEFT OF IDENTITY,
9,221600621,18,1130,Foothill,91331,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
10,221409382,8,1200,Pacific,90245,BURGLARY FROM VEHICLE,
11,221409351,1,1025,Pacific,90291,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
12,220200693,2,1700,Rampart,90017,BURGLARY,
13,220400695,18,0303,Hollenbeck,90023,BURGLARY,
14,221309804,18,0800,Newton,90011,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
15,222008594,10,1100,Olympic,90006,VEHICLE - STOLEN,
16,221108073,18,1616,Northeast,90041,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
17,221908392,17,1300,Mission,91406,OTHER MISCELLANEOUS CRIME,
18,221108042,16,0001,Northeast,90029,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
19,221809359,18,1050,Southeast,90044,VEHICLE - STOLEN,
20,220708134,15,1100,Wilshire,90048,BURGLARY,
21,221409395,17,2200,Pacific,90066,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
22,220808365,15,1800,West LA,90025,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
23,220508090,17,0914,Harbor,90710,OTHER MISCELLANEOUS CRIME,
24,222008575,17,1530,Olympic,90006,VEHICLE - STOLEN,
25,220110555,15,0001,Central,90012,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
26,221108071,18,1215,Northeast,90026,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
27,221508435,17,1633,N Hollywood,90068,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
28,220309248,17,1000,Southwest,90037,VEHICLE - STOLEN,
29,220908106,15,1200,Van Nuys,91403,THEFT OF IDENTITY,
30,221210200,15,1300,77th Street,90003,VEHICLE - STOLEN,
31,220110553,14,1000,Central,90012,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
32,221707861,8,1500,Devonshire,91343,"BUNCO, GRAND THEFT",
33,221707860,18,1000,Devonshire,91343,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
34,220309272,10,1600,Southwest,90016,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
35,221108066,18,1130,Northeast,90027,BURGLARY FROM VEHICLE,
36,220908091,17,1200,Van Nuys,91607,VEHICLE - STOLEN,
37,221409339,17,2100,Pacific,90293,VEHICLE - STOLEN,
38,220708077,18,0210,Wilshire,90069,ROBBERY,HAND GUN
39,221409383,14,2000,Pacific,90066,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
40,221210184,17,1800,77th Street,90001,VEHICLE - STOLEN,
41,221809387,8,2125,Southeast,90003,THEFT OF IDENTITY,
42,221008082,1,0001,West Valley,91356,BATTERY WITH SEXUAL CONTACT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
43,221707862,18,0217,Devonshire,91344,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
44,221210198,18,1516,77th Street,90003,CRIMINAL HOMICIDE,SEMI-AUTOMATIC PISTOL
45,220110552,18,0920,Central,90017,ATTEMPTED ROBBERY,OTHER KNIFE
46,220309266,18,1425,Southwest,90008,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
47,220908113,17,2000,Van Nuys,91405,VEHICLE - STOLEN,
48,220708086,17,1445,Wilshire,90048,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
49,221309791,11,0900,Newton,90003,VEHICLE - STOLEN,
50,220309256,18,1400,Southwest,90008,INTIMATE PARTNER - AGGRAVATED ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
51,221210186,17,1700,77th Street,90003,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
52,220407635,17,2030,Hollenbeck,90032,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
53,220110524,17,1900,Central,90014,BURGLARY,UNKNOWN WEAPON/OTHER WEAPON
54,220309253,8,1400,Southwest,90018,VEHICLE - STOLEN,
55,221210171,17,2100,77th Street,90062,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
56,220508099,14,1500,Harbor,90731,VEHICLE - STOLEN,
57,220808333,15,1040,West LA,90025,THEFT OF IDENTITY,
58,221809374,17,2300,Southeast,90003,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
59,220908086,17,2200,Van Nuys,91423,INTIMATE PARTNER - AGGRAVATED ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
60,221809357,17,0001,Southeast,90003,VEHICLE - STOLEN,
61,221008093,17,1950,West Valley,91316,THEFT OF IDENTITY,
62,221108074,15,2100,Northeast,90065,BURGLARY,
63,221108047,13,1313,Northeast,90065,THEFT OF IDENTITY,
64,221108028,17,1620,Northeast,90027,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
65,222108141,12,2120,Topanga,91303,VEHICLE - STOLEN,
66,221809358,16,2200,Southeast,90003,VEHICLE - STOLEN,
67,220708089,14,1250,Wilshire,90046,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
68,220110561,8,2250,Central,90021,"THEFT, PERSON",
69,222108143,16,1400,Topanga,91367,BURGLARY,
70,220900691,15,1250,Van Nuys,91403,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
71,220309268,15,1500,Southwest,90007,BIKE - STOLEN,
72,221108021,17,1415,Northeast,90027,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
73,220708115,16,0200,Wilshire,90019,VEHICLE - STOLEN,
74,221309811,13,1822,Newton,90007,VEHICLE - STOLEN,
75,221008056,18,0010,West Valley,91406,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
76,221108067,16,2130,Northeast,90039,BURGLARY FROM VEHICLE,
77,220208940,18,1800,Rampart,90026,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
78,220908107,6,0900,Van Nuys,91405,THEFT OF IDENTITY,
79,220208937,18,1130,Rampart,90026,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
80,221409360,17,2050,Pacific,90034,VIOLATION OF RESTRAINING ORDER,
81,220608960,16,1800,Hollywood,90038,VEHICLE - STOLEN,
82,220110518,18,0245,Central,90015,BURGLARY,UNKNOWN WEAPON/OTHER WEAPON
83,220708079,15,0500,Wilshire,90046,BURGLARY FROM VEHICLE,
84,221108060,17,1720,Northeast,90039,VIOLATION OF COURT ORDER,
85,221309801,13,0800,Newton,90011,VEHICLE - STOLEN,
86,222008572,18,0200,Olympic,90006,VEHICLE - STOLEN,
87,220508115,15,1400,Harbor,90731,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
88,221008067,17,1200,West Valley,91335,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
89,220508083,16,1250,Harbor,90710,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
90,220208928,18,1420,Rampart,90017,ATTEMPTED ROBBERY,KNIFE WITH BLADE 6INCHES OR LESS
91,221108024,17,2130,Northeast,90029,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
92,220608961,18,0400,Hollywood,90046,VEHICLE - STOLEN,
93,221108026,15,1700,Northeast,90027,"RAPE, FORCIBLE","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
94,221108052,15,1000,Northeast,90012,THEFT PLAIN - PETTY ($950 & UNDER),
95,220708135,15,1100,Wilshire,90048,BURGLARY,
96,220309249,18,0500,Southwest,90007,BURGLARY,
97,220208920,17,1800,Rampart,90015,VEHICLE - STOLEN,
98,220309265,18,1830,Southwest,90018,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
99,220508096,14,0600,Harbor,90731,VEHICLE - STOLEN,
100,220208935,18,1445,Rampart,90057,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SEMI-AUTOMATIC PISTOL
101,221309794,17,1730,Newton,90011,BURGLARY FROM VEHICLE,
102,220708104,15,2000,Wilshire,90019,BURGLARY,
103,222108133,16,2330,Topanga,91364,VEHICLE - STOLEN,
104,220508095,17,1045,Harbor,90744,VIOLATION OF RESTRAINING ORDER,
105,221100669,17,1845,Northeast,90042,ROBBERY,KITCHEN KNIFE
106,221409340,17,2200,Pacific,90034,VEHICLE - STOLEN,
107,220309243,17,1230,Southwest,90018,VEHICLE - STOLEN,
108,222008601,18,1200,Olympic,90005,VEHICLE - STOLEN,
109,220110511,17,2330,Central,90017,BURGLARY FROM VEHICLE,
110,221707846,18,0900,Devonshire,91325,VEHICLE - STOLEN,
111,221008068,17,0800,West Valley,91335,VEHICLE - STOLEN,
112,220608941,17,2230,Hollywood,90038,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
113,221409398,18,2000,Pacific,90034,VEHICLE - STOLEN,
114,221908394,16,1900,Mission,91345,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
115,220110550,17,1830,Central,90015,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
116,220608948,17,2300,Hollywood,90068,BURGLARY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
117,220608949,18,1100,Hollywood,90068,BATTERY - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
118,220407640,17,2030,Hollenbeck,90032,VEHICLE - STOLEN,
119,221108044,17,1900,Northeast,90027,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
120,221409329,17,1745,Pacific,90066,VEHICLE - STOLEN,
121,220708088,15,0750,Wilshire,90019,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
122,221008087,15,1530,West Valley,91436,BURGLARY,
123,221008072,17,1615,West Valley,91316,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
124,222108132,17,2330,Topanga,91364,VEHICLE - STOLEN,
125,221809346,18,0015,Southeast,90059,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
126,222108128,18,0800,Topanga,91306,VEHICLE - STOLEN,
127,221309810,13,1800,Newton,90007,VEHICLE - STOLEN,
128,220708091,18,0330,Wilshire,90019,VEHICLE - STOLEN,
129,221108032,18,0310,Northeast,90041,BATTERY - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
130,220309245,16,0800,Southwest,90018,VEHICLE - STOLEN,
131,220608952,16,1500,Hollywood,90046,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
132,220708084,17,1600,Wilshire,90019,INTIMATE PARTNER - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
133,220508100,14,0815,Harbor,90710,BURGLARY FROM VEHICLE,
134,220110557,18,1400,Central,90013,THEFT PLAIN - PETTY ($950 & UNDER),
135,221008065,16,1800,West Valley,91335,VEHICLE - STOLEN,
136,221108022,17,1415,Northeast,90027,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
137,220309255,9,2330,Southwest,90018,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",DOG/ANIMAL (SIC ANIMAL ON)
138,220110573,17,0100,Central,90014,BURGLARY FROM VEHICLE,
139,221210199,18,1516,77th Street,90003,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SEMI-AUTOMATIC PISTOL
140,220608930,15,2300,Hollywood,90028,VEHICLE - STOLEN,
141,220208939,12,1909,Rampart,90057,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
142,221508424,14,1600,N Hollywood,91606,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
143,220110519,17,1530,Central,90014,VEHICLE - STOLEN,
144,221108034,11,1315,Northeast,90027,VIOLATION OF RESTRAINING ORDER,
145,220708080,16,1700,Wilshire,90035,THEFT PLAIN - PETTY ($950 & UNDER),
146,221100672,16,2115,Northeast,90027,THEFT PLAIN - PETTY ($950 & UNDER),
147,221809376,18,1045,Southeast,90003,THEFT FROM MOTOR VEHICLE - ATTEMPT,
148,220309264,18,1830,Southwest,90018,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
149,221908393,18,1200,Mission,91402,VEHICLE - STOLEN,
150,220908102,15,1000,Van Nuys,91401,BURGLARY,
151,220110548,18,1315,Central,90012,THEFT PLAIN - ATTEMPT,
152,221809384,18,0830,Southeast,90044,VEHICLE - STOLEN,
153,220708123,8,1300,Wilshire,90069,THEFT OF IDENTITY,
154,220309270,18,1200,Southwest,90016,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
155,220309262,18,1620,Southwest,90037,VIOLATION OF RESTRAINING ORDER,
156,220908120,18,2120,Van Nuys,91401,VEHICLE - STOLEN,
157,220708132,18,1845,Wilshire,90048,VEHICLE - STOLEN,
158,220110559,18,0130,Central,90012,BURGLARY,
159,221108065,17,2030,Northeast,90012,TRESPASSING,
160,220407656,15,1500,Hollenbeck,90033,VEHICLE - ATTEMPT STOLEN,
161,221008092,18,1245,West Valley,91335,THEFT PLAIN - PETTY ($950 & UNDER),
162,220309250,18,0505,Southwest,90007,BURGLARY,
163,220110582,18,1730,Central,90012,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
164,221309784,18,0030,Newton,90011,INTIMATE PARTNER - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
165,221008053,18,0300,West Valley,91406,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN
166,220110558,18,0710,Central,90014,BRANDISH WEAPON,HAND GUN
167,221908399,18,0530,Mission,91342,VEHICLE - STOLEN,
168,220110549,15,0001,Central,90014,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
169,221108070,17,2330,Northeast,90039,BURGLARY,
170,221309795,16,1002,Newton,90011,BURGLARY FROM VEHICLE,
171,221210191,17,2100,77th Street,90062,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
172,220110551,18,0800,Central,90015,VEHICLE - STOLEN,
173,220908104,10,1700,Van Nuys,91411,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
174,220808343,16,1545,West LA,90025,VEHICLE - STOLEN,
175,221707858,12,2100,Devonshire,91324,VEHICLE - STOLEN,
176,220908117,11,1500,Van Nuys,91423,BURGLARY FROM VEHICLE,
177,220309254,15,1200,Southwest,90008,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
178,220908115,14,0300,Van Nuys,91423,BURGLARY FROM VEHICLE,
179,220407655,17,1800,Hollenbeck,90033,VEHICLE - ATTEMPT STOLEN,
180,220908098,17,2330,Van Nuys,91405,BURGLARY,
181,221809372,11,1200,Southeast,90003,VEHICLE - STOLEN,
182,220508105,12,0950,Harbor,90744,THEFT PLAIN - PETTY ($950 & UNDER),
183,220110574,16,2130,Central,90017,BURGLARY FROM VEHICLE,
184,220708133,15,1423,Wilshire,90036,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
185,220508082,18,0500,Harbor,90731,VEHICLE - STOLEN,
186,221809353,4,1600,Southeast,90044,VEHICLE - STOLEN,
187,220608967,18,1715,Hollywood,90028,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
188,221809354,18,0200,Southeast,90061,VEHICLE - STOLEN,
189,221108062,18,0400,Northeast,90029,VEHICLE - STOLEN,
190,220110572,15,2230,Central,90015,THEFT PLAIN - PETTY ($950 & UNDER),
191,221210194,18,1030,77th Street,90047,BURGLARY FROM VEHICLE,
192,220110509,17,2345,Central,90015,FAILURE TO YIELD,
193,220908096,18,1000,Van Nuys,91405,VEHICLE - STOLEN,
194,221508430,7,2010,N Hollywood,91602,THEFT PLAIN - PETTY ($950 & UNDER),
195,220208924,17,2300,Rampart,90017,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
196,221210176,18,0900,77th Street,90044,VEHICLE - STOLEN,
197,220309247,18,0500,Southwest,90007,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
198,220908094,17,2215,Van Nuys,91411,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
199,220908118,17,2000,Van Nuys,91405,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
200,220110576,15,0116,Central,90014,THEFT PLAIN - PETTY ($950 & UNDER),
201,220110554,18,1335,Central,90013,BATTERY WITH SEXUAL CONTACT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
202,221210163,18,0300,77th Street,90003,VEHICLE - STOLEN,
203,222108135,17,2245,Topanga,91306,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
204,220908095,17,2215,Van Nuys,91411,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
205,220110532,17,1250,Central,90014,THEFT PLAIN - PETTY ($950 & UNDER),
206,220110540,17,0001,Central,90015,BURGLARY FROM VEHICLE,
207,221309809,18,1250,Newton,90011,BRANDISH WEAPON,VERBAL THREAT
208,221908354,17,1100,Mission,91342,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
209,220808364,15,1700,West LA,90025,BURGLARY,
210,221908346,17,1000,Mission,91402,VEHICLE - STOLEN,
211,220608968,16,2100,Hollywood,90028,BURGLARY FROM VEHICLE,
212,221108038,15,1800,Northeast,90039,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
213,220407649,14,1700,Hollenbeck,90031,VEHICLE - ATTEMPT STOLEN,
214,220208910,17,2005,Rampart,90026,VEHICLE - STOLEN,
215,222108117,17,1400,Topanga,91306,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
216,220110575,15,2330,Central,90014,BURGLARY FROM VEHICLE,
217,221809375,16,0740,Southeast,90002,BURGLARY FROM VEHICLE,
218,221108020,17,1415,Northeast,90027,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
219,221108045,17,2210,Northeast,90027,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
220,221210185,18,1100,77th Street,90044,ROBBERY,HAND GUN
221,220309228,18,0110,Southwest,90007,CRIMINAL THREATS - NO WEAPON DISPLAYED,OTHER CUTTING INSTRUMENT
222,221108068,18,1455,Northeast,90027,OTHER ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
223,221008090,16,1130,West Valley,91335,BURGLARY FROM VEHICLE,
224,220708082,17,2100,Wilshire,90019,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
225,221809388,18,0100,Southeast,90061,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
226,220309257,8,1400,Southwest,90018,BURGLARY,
227,221108025,18,0205,Northeast,90027,BURGLARY,
228,220908121,17,1500,Van Nuys,91403,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
229,221607388,14,0100,Foothill,91605,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
230,221809382,17,1400,Southeast,90061,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KNIFE WITH BLADE 6INCHES OR LESS
231,221108055,17,1700,Northeast,90041,THEFT PLAIN - PETTY ($950 & UNDER),
232,221707847,7,1200,Devonshire,91311,VEHICLE - STOLEN,
233,221409377,18,1640,Pacific,90291,OTHER MISCELLANEOUS CRIME,
234,220508111,11,1515,Harbor,90710,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
235,221309781,16,1700,Newton,90037,VEHICLE - STOLEN,
236,220309234,16,1430,Southwest,90016,BURGLARY,
237,220608934,18,0330,Hollywood,90038,ROBBERY,HAND GUN
238,220708127,18,0240,Wilshire,90036,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
239,220309236,18,0150,Southwest,90016,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
240,220608966,18,1205,Hollywood,90028,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
241,221607374,17,1455,Foothill,91331,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN
242,220908105,18,1250,Van Nuys,91406,VEHICLE - STOLEN,
243,221908375,18,1525,Mission,91402,VEHICLE - STOLEN,
244,221108050,18,1010,Northeast,90027,TRESPASSING,
245,220708078,17,1402,Wilshire,90019,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
246,220208934,18,1445,Rampart,90057,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SEMI-AUTOMATIC PISTOL
247,220110538,18,0918,Central,90017,VEHICLE - STOLEN,
248,220309244,18,1200,Southwest,90037,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
249,220110521,17,0700,Central,90017,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
250,221409350,17,1330,Pacific,90291,BURGLARY,
251,221707845,18,0820,Devonshire,91344,VEHICLE - STOLEN,
252,221809389,18,1845,Southeast,90003,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,
253,221008077,18,0600,West Valley,91335,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
254,220508097,11,1035,Harbor,90732,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
255,221210203,18,1430,77th Street,90044,ROBBERY,HAND GUN
256,220808329,18,0350,West LA,90025,VEHICLE - STOLEN,
257,221210158,18,0245,77th Street,90044,ROBBERY,SEMI-AUTOMATIC PISTOL
258,221008088,17,1100,West Valley,91436,BURGLARY,
259,221409391,18,1200,Pacific,90066,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
260,221508431,18,1500,N Hollywood,91601,BRANDISH WEAPON,OTHER KNIFE
261,221607375,17,1455,Foothill,91331,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN
262,220508116,16,1200,Harbor,90710,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
263,220309251,2,1300,Southwest,90089,BURGLARY,
264,221108040,15,1700,Northeast,90026,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
265,220608964,18,2000,Hollywood,90068,VEHICLE - STOLEN,
266,220407648,18,1300,Hollenbeck,90023,VEHICLE - STOLEN,
267,221409384,8,1200,Pacific,90232,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
268,220708099,17,2300,Wilshire,90019,VEHICLE - STOLEN,
269,221908382,14,1900,Mission,91331,BURGLARY FROM VEHICLE,
270,221108072,18,1515,Northeast,90026,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
271,221008047,18,0320,West Valley,91335,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
272,220208925,16,1130,Rampart,90057,DOCUMENT FORGERY / STOLEN FELONY,
273,222108139,14,2200,Topanga,91367,VEHICLE - STOLEN,
274,220908089,17,1030,Van Nuys,91405,VEHICLE - STOLEN,
275,221309799,16,2200,Newton,90007,BURGLARY,
276,220110569,17,1845,Central,90012,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
277,221108063,14,2320,Northeast,90029,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN
278,221409376,17,1100,Pacific,90045,VEHICLE - STOLEN,
279,221008054,18,0640,West Valley,91325,VEHICLE - STOLEN,
280,221908398,18,1130,Mission,91342,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
281,220110571,10,1515,Central,90015,BURGLARY FROM VEHICLE,
282,220407647,15,1800,Hollenbeck,90023,VEHICLE - STOLEN,
283,220908109,18,0700,Van Nuys,91405,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
284,221607364,17,1847,Foothill,91331,CRIMINAL HOMICIDE,HAND GUN
285,220708081,18,0005,Wilshire,90035,INTIMATE PARTNER - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
286,220808316,17,1900,West LA,90402,VEHICLE - STOLEN,
287,220110556,18,0140,Central,90014,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
288,220508098,18,0500,Harbor,90502,VEHICLE - STOLEN,
289,220110507,4,2300,Central,90013,BURGLARY,
290,221707859,17,0400,Devonshire,91304,VEHICLE - STOLEN,
291,220309246,18,0515,Southwest,90007,BURGLARY,
292,220708131,18,0900,Wilshire,90036,VIOLATION OF COURT ORDER,
293,220908090,18,0150,Van Nuys,91405,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
294,221409396,17,2100,Pacific,90066,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
295,220708129,15,1500,Wilshire,90036,THEFT PLAIN - PETTY ($950 & UNDER),
296,220110546,18,0940,Central,90013,BATTERY - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
297,220808345,18,1140,West LA,90024,BURGLARY FROM VEHICLE,
298,220508077,17,1800,Harbor,90731,VEHICLE - STOLEN,
299,220908092,17,2029,Van Nuys,91423,BURGLARY,
300,221409385,17,1830,Pacific,90293,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
301,220708128,7,1235,Wilshire,90048,THEFT PLAIN - PETTY ($950 & UNDER),
